custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip
F2A58B4,8E9BBBA,ZOCUATA QUABACOUZA DES UMFTEZTTUCTUTAZ                           ,PALAIS DE JUSTICE                                            ,800 BOUL DES BOIS-FRANCS S                                   ,                                                             ,CA     ,VICTORIAVILLE                      ,Canada                                                       ,QC                           ,G6P 5W5    
F2A58B4,990C18D,ZOCUATA QUABACOUZA DES UMFTEZTTUCTUTAZ                           ,SURETE DU QUEBEC                                             ,30 BOUL LABBE S                                              ,                                                             ,CA     ,VICTORIAVILLE                      ,Canada                                                       ,QC                           ,G6S 1B5    
D9E0913,36DB183,WUMXEMP FOOPZ                                                    ,944 HIGHWAY #8                                               ,                                                             ,                                                             ,CA     ,WINONA                             ,Canada                                                       ,ON                           ,L8E 5S3    
30286B7,DCFC9B3,6845 CAMTUTY MONUMAA INC                                         ,C/O AVISON YOUNG PROPERTY MGMT                               ,SIMPSON TOWER                                                ,"401 BAY ST, 11TH FLR                                         ",CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5H 2Y4    
1F04038,52294EE,E.G. ZUNBZOM EUTONOTUVA INC                                      ,E2Z COATINGS & TECHNOLOGIES INC                              ,560 CONESTOGA BLVD  DOCK#16                                  ,                                                             ,CA     ,CAMBRIDGE                          ,Canada                                                       ,ONTARIO                      ,N1R 7L7    
D0B103B,2CDD672,EVATY PRODUCTS (CANADA)                                          ,"240 SOUTH BLAIR STREET, UNIT 4                               ",                                                             ,                                                             ,CA     ,WHITBY                             ,Canada                                                       ,ONTARIO                      ,L1N 0G3    
0B113B8,5A3B33D,NOPATM MUEGETE TORONTO INC                                       ,ZZZ DO NOT USE - 695 FLINT RD                                ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M3J 2T7    
0B113B8,DD764A0,NOPATM MUEGETE TORONTO INC                                       ,8125 HIGHWAY 50                                              ,                                                             ,                                                             ,CA     ,VAUGHAN                            ,CA                                                           ,ON                           ,L4H 4S6    
CE02118,FCDE270,UNIVERSITY HAEXTH MATWOTK                                        ,ATTN: ACCOUNTS PAYABLE                                       ,R. FRASER ELLIOTT - 2                                        ,200 ELIZABETH ST                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5G 2C4    
9A86162,5A98A43,THE NEMUFECTUTATZ XUFA UMZUTEMCA COMPANY                         ,ZZZMOVED TO CUST#201393                                      ,393 UNIVERSITY AVENUE                                        ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5G 1E6    
2184318,E45E887,COXXUATZ NECEUXEY MUCOXXZ INC                                    ,ZZZZZZZ DO NOT USEREMS AP OFFICE EAST                        ,NXS# V0004076 -E4891                                         ,1 QUEEN ST E SUITE 2200                                      ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5C 2W5    
9A6DDE7,3B97236,PX SYSTEMS ZOXUTUOM INC                                          ,ZZZ DO NOT USE - MOVED ZZZ                                   ,21-1225 GORHAM ST                                            ,                                                             ,CA     ,NEWMARKET                          ,Canada                                                       ,ONTARIO                      ,L3Y 8Y4    
EBD9EE5,6B225BF,BTOOKFUAXP GXOBEX UMTAGTETAP SOLUTIONS CANADA LP                 ,7400 BIRCHMOUNT ROAD                                         ,                                                             ,                                                             ,CA     ,MARKHAM                            ,Canada                                                       ,ONTARIO                      ,L3R 4E6    
18C7F40,1401E86,BCG Gxobex Property Management Inc                               ,1112 WEST PENDER ST SUITE 200                                ,ZZZZ DO NOT USE                                              ,                                                             ,CA     ,VANCOUVER                          ,Canada                                                       ,BC                           ,V6E 2S1    
A2B9C13,0D29378,PTAEN OFFICE LP                                                  ,6 ADELAIDE ST E                                              ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5C 1H6    
E9CD571,809625B,TOWN OF NUXTOM                                                   ,DO NOT USE - SEE # 135697                                    ,ATTN: DON RENAUD                                             ,500 CHILDS DRIVE                                             ,CA     ,MILTON                             ,Canada                                                       ,ONTARIO                      ,L9T 5G2    
AFB45DA,F1D7789,NAMKAZ GTE UMPUZTTUEX HOLDINGS INC                               ,4711 YONGE STREET SUITE 1400                                 ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M2N 7E4    
1538816,4CC52FE,BECA SOLUTIONS CORP                                              ,PREVENT MECHANICAL                                           ,C/O LANDMARK GARDENS                                         ,333 GARRY CRESENT NE                                         ,CA     ,CALGARY                            ,Canada                                                       ,ALBERTA                      ,T2K 3T7    
5F8FFBC,6B2C92B,CEMXEM UCA ZBOTTZ                                                ,ICE SPORTS SCARBOROUGH                                       ,159 DYNAMIC DRIVE                                            ,                                                             ,CA     ,SCARBOROUGH                        ,CA                                                           ,ONTARIO                      ,M1V 5L8    
9EAFD0B,D726213,METUOMEX SERVICE BTOFAZZUOMEXZ                                   ,815 NORAH CRES                                               ,                                                             ,                                                             ,CA     ,THUNDER BAY                        ,Canada                                                       ,ONTARIO                      ,P7C 5H9    
